Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,3e-07,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,10,1
Vertical Units,V,V,A
Vertical Offset,0,10,0.0452
Vertical Scale,5,0.2,0.005
Vertical Position,2.66,4.86,-0.66
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH4
-4.631e-05,4.5,9.308,0.0451
-4.630e-05,4.5,9.308,0.0445
-4.629e-05,4.7,9.3,0.0451
-4.628e-05,4.5,9.308,0.0447
-4.627e-05,4.7,9.3,0.0451
-4.626e-05,4.7,9.3,0.0451
-4.625e-05,4.5,9.3,0.0451
-4.624e-05,4.3,9.292,0.0453
-4.623e-05,4.7,9.292,0.0449
-4.622e-05,4.5,9.308,0.0447
-4.621e-05,4.7,9.3,0.0447
-4.620e-05,4.3,9.3,0.0445
-4.619e-05,4.5,9.3,0.0447
-4.618e-05,4.5,9.292,0.0451
-4.617e-05,4.7,9.3,0.0447
-4.616e-05,4.5,9.308,0.0447
-4.615e-05,4.7,9.292,0.0449
-4.614e-05,4.5,9.3,0.0449
-4.613e-05,4.5,9.3,0.0447
-4.612e-05,4.5,9.292,0.0455
-4.611e-05,4.5,9.284,0.0451
-4.610e-05,4.7,9.3,0.0447
-4.609e-05,4.7,9.292,0.0451
-4.608e-05,4.7,9.284,0.0449
-4.607e-05,4.5,9.284,0.0449
-4.606e-05,4.5,9.284,0.0447
-4.605e-05,4.5,9.284,0.0449
-4.604e-05,4.5,9.284,0.0447
-4.603e-05,4.5,9.284,0.0447
-4.602e-05,4.7,9.284,0.0449
-4.601e-05,4.5,9.292,0.0447
-4.600e-05,4.7,9.284,0.0447
-4.599e-05,4.7,9.276,0.0447
-4.598e-05,4.5,9.284,0.0447
-4.597e-05,4.5,9.276,0.0447
-4.596e-05,4.5,9.284,0.0449
-4.595e-05,4.5,9.284,0.0449
-4.594e-05,4.5,9.276,0.0451
-4.593e-05,4.7,9.276,0.0447
