Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-4.28
,
,
,
Label,
TIME,CH3
-4.346e-02,4.8
-4.345e-02,4.72
-4.344e-02,4.68
-4.343e-02,4.72
-4.342e-02,4.76
-4.341e-02,4.76
-4.340e-02,4.72
-4.339e-02,4.68
-4.338e-02,4.68
-4.337e-02,4.72
-4.336e-02,4.4
-4.335e-02,4.8
-4.334e-02,4.72
-4.333e-02,4.72
-4.332e-02,4.72
-4.331e-02,4.8
-4.330e-02,5.04
-4.329e-02,4.64
-4.328e-02,4.76
-4.327e-02,4.72
-4.326e-02,4.68
-4.325e-02,4.64
-4.324e-02,4.72
-4.323e-02,4.72
-4.322e-02,4.68
-4.321e-02,4.72
-4.320e-02,4.76
-4.319e-02,4.72
-4.318e-02,4.68
-4.317e-02,4.76
-4.316e-02,4.8
-4.315e-02,4.68
-4.314e-02,4.68
-4.313e-02,4.68
-4.312e-02,4.68
-4.311e-02,4.72
-4.310e-02,4.76
-4.309e-02,4.72
-4.308e-02,4.68
-4.307e-02,4.68
-4.306e-02,4.8
-4.305e-02,4.76
-4.304e-02,4.72
-4.303e-02,4.68
-4.302e-02,4.68
-4.301e-02,4.72
-4.300e-02,4.8
-4.299e-02,4.64
-4.298e-02,4.72
-4.297e-02,4.76
-4.296e-02,4.76
-4.295e-02,4.8
-4.294e-02,4.04
-4.293e-02,4.72
-4.292e-02,4.68
-4.291e-02,4.72
-4.290e-02,4.76
-4.289e-02,4.6
-4.288e-02,4.64
-4.287e-02,4.68
-4.286e-02,4.76
-4.285e-02,4.72
-4.284e-02,4.8
-4.283e-02,4.36
-4.282e-02,4.68
-4.281e-02,4.72
-4.280e-02,4.72
-4.279e-02,4.72
-4.278e-02,4.72
-4.277e-02,4.68
-4.276e-02,4.64
-4.275e-02,4.72
-4.274e-02,4.72
-4.273e-02,4.72
-4.272e-02,4.64
-4.271e-02,4.72
-4.270e-02,4.72
-4.269e-02,4.84
-4.268e-02,4.72
-4.267e-02,4.72
-4.266e-02,4.72
-4.265e-02,4.68
-4.264e-02,4.8
-4.263e-02,4.68
-4.262e-02,4.68
-4.261e-02,4.68
-4.260e-02,4.8
-4.259e-02,4.8
-4.258e-02,4.52
-4.257e-02,4.72
-4.256e-02,4.72
-4.255e-02,4.72
-4.254e-02,4.76
-4.253e-02,4.6
-4.252e-02,4.68
-4.251e-02,4.72
-4.250e-02,4.72
-4.249e-02,4.72
-4.248e-02,4.76
-4.247e-02,4.64
-4.246e-02,4.68
-4.245e-02,4.72
-4.244e-02,4.8
-4.243e-02,4.8
-4.242e-02,4.72
-4.241e-02,4.68
-4.240e-02,4.72
-4.239e-02,4.72
-4.238e-02,4.76
-4.237e-02,4.72
-4.236e-02,4.68
-4.235e-02,4.72
-4.234e-02,4.76
-4.233e-02,4.8
-4.232e-02,4.72
-4.231e-02,4.68
-4.230e-02,4.68
-4.229e-02,4.68
-4.228e-02,4.84
-4.227e-02,4.6
-4.226e-02,4.68
-4.225e-02,4.72
-4.224e-02,4.72
-4.223e-02,4.8
-4.222e-02,4.64
-4.221e-02,4.72
-4.220e-02,4.72
-4.219e-02,4.76
-4.218e-02,4.76
-4.217e-02,4.64
-4.216e-02,4.68
-4.215e-02,4.68
-4.214e-02,4.76
-4.213e-02,4.72
-4.212e-02,4.72
-4.211e-02,4.72
-4.210e-02,4.68
-4.209e-02,4.72
-4.208e-02,4.8
-4.207e-02,4.8
-4.206e-02,5.64
-4.205e-02,4.64
-4.204e-02,4.72
-4.203e-02,4.76
-4.202e-02,4.76
-4.201e-02,4.68
-4.200e-02,4.68
-4.199e-02,4.72
-4.198e-02,4.76
-4.197e-02,4.8
-4.196e-02,4.72
-4.195e-02,4.64
-4.194e-02,4.72
-4.193e-02,4.72
-4.192e-02,4.64
-4.191e-02,4.72
-4.190e-02,4.72
-4.189e-02,4.68
-4.188e-02,4.76
-4.187e-02,4.8
-4.186e-02,4.8
-4.185e-02,4.68
-4.184e-02,4.68
-4.183e-02,4.72
-4.182e-02,4.76
-4.181e-02,4.88
-4.180e-02,4.68
-4.179e-02,4.68
-4.178e-02,4.72
-4.177e-02,4.72
-4.176e-02,4.72
-4.175e-02,4.68
-4.174e-02,4.72
-4.173e-02,4.72
-4.172e-02,4.76
-4.171e-02,4.84
-4.170e-02,4.64
-4.169e-02,4.64
-4.168e-02,4.72
-4.167e-02,4.72
-4.166e-02,4.8
-4.165e-02,4.72
-4.164e-02,4.68
-4.163e-02,4.72
-4.162e-02,4.76
-4.161e-02,4.8
-4.160e-02,4.72
-4.159e-02,4.68
-4.158e-02,4.68
-4.157e-02,4.72
-4.156e-02,4.76
-4.155e-02,4.72
-4.154e-02,4.8
-4.153e-02,4.8
-4.152e-02,4.72
-4.151e-02,4.72
-4.150e-02,4.76
-4.149e-02,4.8
-4.148e-02,4.28
-4.147e-02,4.68
-4.146e-02,4.68
-4.145e-02,4.68
-4.144e-02,4.76
-4.143e-02,4.6
-4.142e-02,4.68
-4.141e-02,4.68
-4.140e-02,4.72
-4.139e-02,4.76
-4.138e-02,4.68
-4.137e-02,4.88
-4.136e-02,4.72
-4.135e-02,4.6
-4.134e-02,4.68
-4.133e-02,4.76
-4.132e-02,4.68
-4.131e-02,4.68
-4.130e-02,4.72
-4.129e-02,4.68
-4.128e-02,4.76
-4.127e-02,4.76
-4.126e-02,4.72
-4.125e-02,4.72
-4.124e-02,4.72
-4.123e-02,4.76
-4.122e-02,4.72
-4.121e-02,4.72
-4.120e-02,4.72
